game_id,game_date
1021900089,2019-07-10
1021900093,2019-07-12
1021900098,2019-07-14
1021900111,2019-07-21
1021900118,2019-07-30
1021900133,2019-08-07
1021900138,2019-08-09
1021900143,2019-08-11
1021900151,2019-08-16
1021900157,2019-08-18
1021900168,2019-08-23
1021900172,2019-08-25
1021900178,2019-08-27
1021900181,2019-08-29
1021900186,2019-09-01
1021900196,2019-09-06
1021900201,2019-09-08
1021900004,2019-05-25
1021900007,2019-05-28
1021900011,2019-05-31
1021900016,2019-06-02
1021900021,2019-06-06
1021900031,2019-06-11
1021900037,2019-06-14
1021900043,2019-06-16
1021900062,2019-06-26
1021900067,2019-06-29
1021900080,2019-07-06
1021900092,2019-07-12
1021900097,2019-07-14
1021900116,2019-07-24
1021900122,2019-08-01
1021900129,2019-08-04
1021900137,2019-08-09
1021900144,2019-08-11
1021900149,2019-08-14
1021900150,2019-08-16
1021900155,2019-08-18
1021900166,2019-08-23
1021900171,2019-08-25
1021900179,2019-08-27
1021900183,2019-08-30
1021900192,2019-09-04
1021900200,2019-09-08
1021900015,2019-06-01
1021900023,2019-06-07
1021900028,2019-06-09
1021900035,2019-06-13
1021900048,2019-06-20
1021900054,2019-06-22
1021900064,2019-06-28
1021900070,2019-06-30
1021900076,2019-07-05
1021900085,2019-07-09
1021900094,2019-07-12
1021900102,2019-07-17
1021900104,2019-07-18
1021900109,2019-07-20
1021900120,2019-07-30
1021900123,2019-08-01
1021900128,2019-08-03
1021900136,2019-08-08
1021900140,2019-08-10
1021900148,2019-08-14
1021900152,2019-08-16
1021900164,2019-08-22
1021900184,2019-08-31
1021900195,2019-09-06
1021900202,2019-09-08
1021900002,2019-05-24
1021900012,2019-06-01
1021900029,2019-06-09
1021900032,2019-06-11
1021900058,2019-06-23
1021900059,2019-06-25
1021900065,2019-06-28
1021900068,2019-06-29
1021900088,2019-07-10
1021900090,2019-07-12
1021900105,2019-07-19
1021900115,2019-07-23
1021900127,2019-08-03
1021900134,2019-08-08
1021900156,2019-08-18
1021900161,2019-08-20
1021900165,2019-08-22
1021900174,2019-08-25
1021900175,2019-08-27
1021900180,2019-08-29
1021900187,2019-09-01
1021900197,2019-09-06
1021900006,2019-05-26
1021900017,2019-06-04
1021900025,2019-06-08
1021900038,2019-06-14
1021900042,2019-06-15
1021900045,2019-06-18
1021900052,2019-06-21
1021900057,2019-06-23
1021900063,2019-06-27
1021900082,2019-07-07
1021900108,2019-07-20
1021900124,2019-08-01
1021900130,2019-08-04
1021900135,2019-08-08
1021900163,2019-08-20
1021900177,2019-08-27
1021900185,2019-08-31
1021900194,2019-09-05
1021900204,2019-09-08
1021900010,2019-05-31
1021900027,2019-06-09
1021900039,2019-06-14
1021900044,2019-06-16
1021900049,2019-06-20
1021900060,2019-06-25
1021900079,2019-08-05
1021900081,2019-07-07
1021900095,2019-07-13
1021900107,2019-07-19
1021900112,2019-07-21
1021900114,2019-07-23
1021900162,2019-08-20
1021900173,2019-08-25
1021900203,2019-09-08
1021900008,2019-05-29
1021900018,2019-06-04
1021900022,2019-06-06
1021900034,2019-06-12
1021900053,2019-06-22
1021900099,2019-07-14
1021900103,2019-07-17
1021900117,2019-07-24
1021900142,2019-08-11
1021900145,2019-08-13
1021900153,2019-08-16
1021900159,2019-08-18
1021900198,2019-09-06
1021900024,2019-06-07
1021900075,2019-07-03
1021900077,2019-07-05
1021900100,2019-07-14
1021900141,2019-08-11
1021900158,2019-08-18
1021900169,2019-08-25
1021900176,2019-08-27
1021900189,2019-09-03
1021900003,2019-05-25
1021900072,2019-06-30
1021900087,2019-07-10
1021900119,2019-07-30
1021900131,2019-08-04
1021900190,2019-09-03
1021900036,2019-06-14
1021900125,2019-08-02
1021900147,2019-08-14
1041900101,2019-09-11
1041900211,2019-09-15
1041900311,2019-09-17
1041900312,2019-09-19
1041900313,2019-09-22
1041900401,2019-09-29
1041900402,2019-10-01
1041900403,2019-10-06
1041900404,2019-10-08
1041900405,2019-10-10
1041900201,2019-09-15
1041900301,2019-09-17
1041900302,2019-09-19
1041900303,2019-09-22
1041900304,2019-09-24
1041900111,2019-09-11
1022001006,2020-07-26
1022001012,2020-07-29
1022001016,2020-07-31
1022001023,2020-08-02
1022001026,2020-08-04
1022001031,2020-08-06
1022001037,2020-08-08
1022001043,2020-08-10
1022001051,2020-08-12
1022001057,2020-08-14
1022001061,2020-08-16
1022001067,2020-08-19
1022001073,2020-08-21
1022001079,2020-08-23
1022001085,2020-09-13
1022001091,2020-08-28
1022001099,2020-08-30
1022001101,2020-09-01
1022001106,2020-09-03
1022001113,2020-09-05
1022001122,2020-09-09
1022001127,2020-09-11
1022001005,2020-07-26
1022001008,2020-07-28
1022001014,2020-07-30
1022001020,2020-08-01
1022001025,2020-08-04
1022001033,2020-08-06
1022001039,2020-08-08
1022001045,2020-08-10
1022001050,2020-08-12
1022001055,2020-08-14
1022001065,2020-08-18
1022001070,2020-08-20
1022001076,2020-08-22
1022001082,2020-08-25
1022001088,2020-08-31
1022001095,2020-08-29
1022001103,2020-09-02
1022001109,2020-09-04
1022001117,2020-09-06
1022001128,2020-09-11
1022001004,2020-07-26
1022001007,2020-07-28
1022001015,2020-07-30
1022001019,2020-08-01
1022001027,2020-08-04
1022001032,2020-08-06
1022001049,2020-08-12
1022001062,2020-08-16
1022001064,2020-08-18
1022001072,2020-08-20
1022001077,2020-08-22
1022001087,2020-09-07
1022001092,2020-08-28
1022001097,2020-08-30
1022001100,2020-09-01
1022001107,2020-09-03
1022001112,2020-09-05
1022001121,2020-09-09
1022001011,2020-07-29
1022001017,2020-07-31
1022001024,2020-08-02
1022001044,2020-08-10
1022001056,2020-08-14
1022001063,2020-08-16
1022001068,2020-08-19
1022001074,2020-08-21
1022001080,2020-08-23
1022001083,2020-08-25
1022001089,2020-09-13
1022001094,2020-08-29
1022001104,2020-09-02
1022001110,2020-09-04
1022001115,2020-09-06
1022001123,2020-09-09
1022001003,2020-07-25
1022001010,2020-07-29
1022001030,2020-08-05
1022001034,2020-08-07
1022001041,2020-08-09
1022001047,2020-08-11
1022001052,2020-08-13
1022001058,2020-08-15
1022001071,2020-08-20
1022001084,2020-08-25
1022001108,2020-09-03
1022001120,2020-09-08
1022001124,2020-09-10
1022001131,2020-09-12
1022001002,2020-07-25
1022001021,2020-08-01
1022001036,2020-08-07
1022001042,2020-08-09
1022001048,2020-08-11
1022001053,2020-08-13
1022001069,2020-08-19
1022001086,2020-08-31
1022001111,2020-09-04
1022001118,2020-09-08
1022001126,2020-09-10
1022001132,2020-09-12
1022001018,2020-07-31
1022001029,2020-08-05
1022001040,2020-08-09
1022001054,2020-08-13
1022001060,2020-08-15
1022001078,2020-08-22
1022001090,2020-09-13
1022001096,2020-08-29
1022001102,2020-09-01
1022001125,2020-09-10
1022001009,2020-07-28
1022001028,2020-08-05
1022001046,2020-08-11
1022001059,2020-08-15
1022001075,2020-08-21
1022001098,2020-08-30
1022001116,2020-09-06
1022001119,2020-09-08
1022001001,2020-07-25
1022001022,2020-08-02
1022001035,2020-08-07
1022001066,2020-08-18
1022001114,2020-09-05
1022001130,2020-09-12
1022001038,2020-08-08
1022001081,2020-08-23
1022001093,2020-08-28
1022001129,2020-09-11
1022001013,2020-07-30
1022001105,2020-09-02
1042000111,2020-09-15
1042000201,2020-09-17
1042000301,2020-09-20
1042000302,2020-09-22
1042000303,2020-09-24
1042000304,2020-09-27
1042000305,2020-09-29
1042000401,2020-10-02
1042000402,2020-10-04
1042000403,2020-10-06
1042000211,2020-09-17
1042000311,2020-09-22
1042000312,2020-09-24
1042000313,2020-09-27
1042000101,2020-09-15
1022100002,2021-05-14
1022100012,2021-05-19
1022100015,2021-05-21
1022100025,2021-05-25
1022100028,2021-05-27
1022100033,2021-05-29
1022100045,2021-06-04
1022100050,2021-06-06
1022100053,2021-06-09
1022100057,2021-06-11
1022100062,2021-06-13
1022100070,2021-06-17
1022100082,2021-06-23
1022100088,2021-06-26
1022100092,2021-06-29
