player_id,name,name_last,name_i
345,Terry Porter,Porter,T. Porter
346,Doug Edwards,Edwards,D. Edwards
348,Mitchell Butler,Butler,M. Butler
349,Mark Jackson,Jackson,M. Jackson
351,Stacey King,King,S. King
353,Darrell Armstrong,Armstrong,D. Armstrong
355,Vincent Askew,Askew,V. Askew
356,Chris Morris,Morris,C. Morris
357,Greg Sutton,Sutton,G. Sutton
358,Anfernee Hardaway,Hardaway,A. Hardaway
359,Chucky Brown,Brown,C. Brown
361,Clifford Robinson,Robinson,C. Robinson
363,Christian Laettner,Laettner,C. Laettner
364,Rex Chapman,Chapman,R. Chapman
365,Derrick McKey,McKey,D. McKey
368,Dwayne Schintzius,Schintzius,D. Schintzius
369,Charlie Ward,Ward,C. Ward
371,Terry Mills,Mills,T. Mills
375,Isaiah Rider,Rider,I. Rider
376,Eric Montross,Montross,E. Montross
378,Craig Ehlo,Ehlo,C. Ehlo
380,Tony Smith,Smith,T. Smith
381,James Robinson,Robinson,J. Robinson
383,Kendall Gill,Gill,K. Gill
384,Calbert Cheaney,Cheaney,C. Cheaney
386,Elliot Perry,Perry,E. Perry
389,Toni Kukoc,Kukoc,T. Kukoc
390,Sasha Danilovic,Danilovic,S. Danilovic
393,Rod Strickland,Strickland,R. Strickland
397,Reggie Miller,Miller,R. Miller
399,Sean Rooks,Rooks,S. Rooks
400,Derek Strong,Strong,D. Strong
402,Jon Koncak,Koncak,J. Koncak
404,Kevin Duckworth,Duckworth,K. Duckworth
406,Shaquille O'Neal,O'Neal,S. O'Neal
412,Sharone Wright,Wright,S. Wright
416,Willie Burton,Burton,W. Burton
417,Sam Mitchell,Mitchell,S. Mitchell
418,Scott Brooks,Brooks,S. Brooks
420,Jayson Williams,Williams,J. Williams
422,Avery Johnson,Johnson,A. Johnson
423,Chris Gatling,Gatling,C. Gatling
426,Terry Davis,Davis,T. Davis
428,Sherman Douglas,Douglas,S. Douglas
431,Shawn Kemp,Kemp,S. Kemp
432,Pete Chilcutt,Chilcutt,P. Chilcutt
433,Buck Williams,Williams,B. Williams
434,Tony Dumas,Dumas,T. Dumas
435,Carlos Rogers,Rogers,C. Rogers
436,Juwan Howard,Howard,J. Howard
438,Robert Werdann,Werdann,R. Werdann
440,Zan Tabak,Tabak,Z. Tabak
441,Lamond Murray,Murray,L. Murray
442,Pervis Ellison,Ellison,P. Ellison
445,Wesley Person,Person,W. Person
446,Lucious Harris,Harris,L. Harris
448,Bo Outlaw,Outlaw,B. Outlaw
452,Vin Baker,Baker,V. Baker
456,Chuck Person,Person,C. Person
457,Andrew Lang,Lang,A. Lang
458,Howard Eisley,Eisley,H. Eisley
460,Trevor Ruffin,Ruffin,T. Ruffin
461,Popeye Jones,Jones,P. Jones
462,J.R. Reid,Reid,J. Reid
467,Jason Kidd,Kidd,J. Kidd
468,Jon Barry,Barry,J. Barry
469,Jamal Mashburn,Mashburn,J. Mashburn
470,Doc Rivers,Rivers,D. Rivers
474,Stefano Rusconi,Rusconi,S. Rusconi
475,Doug Smith,Smith,D. Smith
511,Melvin Booker,Booker,M. Booker
518,Timofey Mozgov,Mozgov,T. Mozgov
673,Alan Henderson,Henderson,A. Henderson
676,Thomas Hamilton,Hamilton,T. Hamilton
694,Sam Mack,Mack,S. Mack
700,Keith Tower,Tower,K. Tower
723,Clint McDaniel,McDaniel,C. McDaniel
100003,Lisa Leslie,Leslie,L. Leslie
100008,Tamecka Dixon,Dixon,T. Dixon
100072,Sheryl Swoopes,Swoopes,S. Swoopes
100076,Tina Thompson,Thompson,T. Thompson
100101,Teresa Weatherspoon,Weatherspoon,T. Weatherspoon
100103,Vickie Johnson,Johnson,V. Johnson
100215,Vanessa Nygaard,Nygaard,V. Nygaard
100222,Kristi Harrower,Harrower,K. Harrower
100234,Ticha Penicheiro,Penicheiro,T. Penicheiro
100236,Tangela Smith,Smith,T. Smith
100263,Bill Laimbeer,Laimbeer,B. Laimbeer
100284,Tully Bevilaqua,Bevilaqua,T. Bevilaqua
100342,Becky Hammon,Hammon,B. Hammon
100347,Tamika Whitmore,Whitmore,T. Whitmore
100356,Chamique Holdsclaw,Holdsclaw,C. Holdsclaw
100370,Stephanie White,White,S. White
100384,Dominique Canty,Canty,D. Canty
100396,DeLisha Milton-Jones,Milton-Jones,D. Milton-Jones
100404,Katie Smith,Smith,K. Smith
100410,Shannon Johnson,Johnson,S. Johnson
100412,Taj McWilliams-Franklin,McWilliams-Franklin,T. McWilliams-Franklin
100419,Yolanda Griffith,Griffith,Y. Griffith
100433,Chasity Melvin,Melvin,C. Melvin
100445,Ann Wauters,Wauters,A. Wauters
100457,Helen Darling,Darling,H. Darling
100484,Betty Lennox,Lennox,B. Lennox
100493,Anna DeForge,DeForge,A. DeForge
100494,Barbara Farris,Farris,B. Farris
100533,DeMya Walker,Walker,D. Walker
