player_id,name,name_last,name_i,team,end_year,window,seasons,total_poss,off_poss,def_poss,ORAPM,DRAPM,RAPM,core_alpha,off_ts_rapm,def_ts_rapm,off_tov_rapm,def_tov_rapm,off_reb_rapm,def_reb_rapm,off_ts_pts,def_ts_pts,off_tov_pts,def_tov_pts,off_reb_pts,def_reb_pts,stage2_r2
1630112,Tyasha Harris,Harris,T. Harris,IND,2026,1Y,2026,1424.7,710.5,714.2,1.29,0.1,1.39,2000.0,0.0114,0.002,-0.2266,-0.3417,-0.3411,-0.2851,1.9,0.21,-0.46,-0.64,-0.21,0.47,0.9292
1642793,Aziaha James,James,A. James,DAL,2026,1Y,2026,1455.8,721.6,734.2,0.1,1.29,1.39,2000.0,-0.0063,0.0015,0.3507,0.1129,0.3549,0.0584,-1.05,0.16,0.72,0.21,0.22,-0.1,0.9292
95108550,Serah Williams,Williams,S. Williams,POR,2026,1Y,2026,1285.6,644.6,641.0,0.73,0.66,1.39,2000.0,0.011,-0.0007,-0.4495,0.3576,-0.2971,0.1228,1.83,-0.07,-0.92,0.67,-0.18,-0.2,0.9292
1629491,Jessica Shepard,Shepard,J. Shepard,DAL,2026,1Y,2026,3560.3,1784.8,1775.5,0.87,0.48,1.36,2000.0,-0.0007,0.0017,0.441,-0.6013,-0.3153,-0.4478,-0.12,0.18,0.9,-1.13,-0.19,0.74,0.9292
93906769,Jovana Nogic,Nogic,J. Nogic,PHO,2026,1Y,2026,1071.0,542.6,528.4,0.46,0.84,1.3,2000.0,-0.0003,0.0004,0.1599,0.4539,0.4435,0.0753,-0.05,0.04,0.33,0.85,0.27,-0.12,0.9292
1642785,Sonia Citron,Citron,S. Citron,WAS,2026,1Y,2026,3381.9,1684.7,1697.1,0.07,1.18,1.25,2000.0,0.005,0.0023,-0.2668,0.1532,-0.6481,-0.4761,0.83,0.24,-0.54,0.29,-0.4,0.79,0.9292
94873358,Antonia Delaere,Delaere,A. Delaere,MIN,2026,1Y,2026,1522.1,750.1,772.0,-0.08,1.28,1.2,2000.0,-0.0039,0.0036,-0.0759,0.4416,1.0647,0.1409,-0.65,0.38,-0.15,0.83,0.65,-0.23,0.9292
204365,Erica Wheeler,Wheeler,E. Wheeler,LAS,2026,1Y,2026,3230.2,1616.5,1613.7,1.2,-0.05,1.15,2000.0,0.0025,-0.0009,0.3392,0.1635,0.6707,0.1418,0.42,-0.1,0.69,0.31,0.41,-0.23,0.9292
1630386,Awak Kuier,Kuier,A. Kuier,DAL,2026,1Y,2026,1634.0,809.5,824.5,-0.04,1.19,1.15,2000.0,0.0029,0.0048,0.1718,-0.2147,-1.0913,-0.5171,0.48,0.51,0.35,-0.4,-0.67,0.85,0.9292
1629479,Teaira McCowan,McCowan,T. McCowan,MIN,2026,1Y,2026,232.3,117.0,115.2,0.09,0.98,1.07,2000.0,-0.0008,0.0036,0.0385,-0.1315,0.1656,-0.2943,-0.13,0.38,0.08,-0.25,0.1,0.49,0.9292
94790258,Raquel Carrera,Carrera,R. Carrera,NYL,2026,1Y,2026,440.9,221.0,220.0,0.7,0.37,1.07,2000.0,0.0032,-0.0002,-0.1322,0.5097,0.7622,0.0549,0.53,-0.02,-0.27,0.95,0.47,-0.09,0.9292
95105740,Indya Nivar,Nivar,I. Nivar,ATL,2026,1Y,2026,213.9,106.0,107.9,0.26,0.77,1.03,2000.0,-0.0037,0.0009,0.0581,0.1505,1.9624,-0.104,-0.62,0.1,0.12,0.28,1.2,0.17,0.9292
1631044,Naz Hillmon,Hillmon,N. Hillmon,ATL,2026,1Y,2026,3186.7,1601.0,1585.7,1.21,-0.23,0.98,2000.0,0.003,-0.0049,0.1886,0.0507,-0.0752,0.4411,0.5,-0.52,0.39,0.09,-0.05,-0.73,0.9292
1629524,Bridget Carleton,Carleton,B. Carleton,POR,2026,1Y,2026,3281.6,1643.9,1637.7,1.09,-0.12,0.97,2000.0,0.0015,-0.0037,0.3026,0.5047,-0.2918,0.5363,0.25,-0.39,0.62,0.94,-0.18,-0.88,0.9292
1628276,Kelsey Plum,Plum,K. Plum,LAS,2026,1Y,2026,1688.8,848.5,840.3,1.52,-0.59,0.94,2000.0,0.0087,-0.0009,0.0846,-0.2773,-0.385,-0.0594,1.45,-0.1,0.17,-0.52,-0.24,0.1,0.9292
94874375,Jihyun Park,Park,J. Park,LAS,2026,1Y,2026,1020.7,507.3,513.5,0.37,0.57,0.94,2000.0,0.0036,-0.0014,-0.0543,0.0417,-0.5722,-0.0668,0.6,-0.15,-0.11,0.08,-0.35,0.11,0.9292
1642210,Julie Vanloo,Vanloo,J. Vanloo,NYL,2026,1Y,2026,300.8,149.5,151.3,0.34,0.57,0.91,2000.0,0.0067,0.003,-0.0896,-0.1341,-0.7854,-0.4107,1.12,0.32,-0.18,-0.25,-0.48,0.68,0.9292
94698736,Flau'jae Johnson,Johnson,F. Johnson,SEA,2026,1Y,2026,3306.4,1645.9,1660.5,-0.06,0.97,0.91,2000.0,0.0014,0.0032,0.091,-0.0769,-0.9059,-0.3081,0.23,0.34,0.19,-0.14,-0.56,0.51,0.9292
1631022,Shakira Austin,Austin,S. Austin,WAS,2026,1Y,2026,3180.7,1581.1,1599.6,-0.64,1.53,0.9,2000.0,-0.0037,0.0068,-0.3622,-0.2329,0.8286,-0.728,-0.62,0.72,-0.74,-0.44,0.51,1.2,0.9292
1629481,Arike Ogunbowale,Ogunbowale,A. Ogunbowale,DAL,2026,1Y,2026,3421.8,1718.6,1703.2,-0.18,1.06,0.88,2000.0,-0.0037,0.0023,0.1108,0.1828,0.5514,-0.4542,-0.62,0.24,0.23,0.34,0.34,0.75,0.9292
1631009,Rhyne Howard,Howard,R. Howard,ATL,2026,1Y,2026,3906.4,1971.3,1935.1,0.64,0.23,0.88,2000.0,-0.0032,-0.0058,0.1917,0.9256,0.8219,0.6023,-0.53,-0.61,0.39,1.73,0.5,-0.99,0.9292
204322,Elizabeth Williams,Williams,E. Williams,CHI,2026,1Y,2026,2171.1,1071.9,1099.1,-0.58,1.43,0.86,2000.0,-0.0033,0.0047,0.2037,0.2065,0.1842,0.2378,-0.55,0.5,0.42,0.39,0.11,-0.39,0.9292
1629482,Sophie Cunningham,Cunningham,S. Cunningham,IND,2026,1Y,2026,2603.3,1305.8,1297.5,0.92,-0.06,0.86,2000.0,0.0126,0.0001,-0.276,-0.0124,-0.2353,0.1023,2.1,0.01,-0.56,-0.02,-0.14,-0.17,0.9292
94565505,Kiki Rice,Rice,K. Rice,TOR,2026,1Y,2026,1527.4,759.0,768.4,1.32,-0.46,0.86,2000.0,0.0023,-0.0044,-0.0162,0.0824,1.0045,0.3927,0.38,-0.47,-0.03,0.15,0.62,-0.65,0.9292
203826,Alyssa Thomas,Thomas,A. Thomas,PHO,2026,1Y,2026,3842.6,1930.8,1911.8,1.36,-0.54,0.82,2000.0,0.0089,-0.0041,0.3441,-0.4043,-0.6272,-0.386,1.48,-0.43,0.7,-0.76,-0.38,0.64,0.9292
1628881,Monique Billings,Billings,M. Billings,IND,2026,1Y,2026,2341.0,1169.2,1171.8,0.82,-0.01,0.81,2000.0,0.0012,0.0004,-0.1006,0.2194,0.1936,0.0744,0.2,0.04,-0.21,0.41,0.12,-0.12,0.9292
