name,season,team,games,minutes,poss,pts,fg2a,fg3a,fta,orb,drb,ast,stl,blk,tov,pf,pts100,fg2a100,fg3a100,fta100,orb100,drb100,ast100,stl100,blk100,tov100,pf100,dre,dre_rapm_scale,dre_total,dre_rank
Sydney Taylor,2026,CHI,27,562.0,1197.614291650338,398.0,147.0,161.0,75.0,11.0,31.0,44.0,19.0,7.0,42.0,71.0,33.23273634715461,12.27440262068273,13.443393346462038,6.262450316674863,0.9184927131123132,2.58847946422561,3.6739708524492527,1.586487413557632,0.5844953628896538,3.506972177337923,5.928452966452203,3.928,1.476,47.04,55
Azzi Fudd,2026,DAL,28,893.0,1812.648401723053,372.0,179.0,147.0,19.0,15.0,34.0,51.0,47.0,24.0,30.0,62.0,20.522457617615594,9.875053531056965,8.109680832767452,1.0481900396093986,0.8275184523232094,1.8757084919326081,2.8135627378989123,2.592891150612723,1.3240295237171351,1.6550369046464188,3.4204096029359325,3.817,1.434,69.19,56
Tiffany Hayes,2026,GS,26,410.0,795.6924720686198,187.0,92.0,44.0,66.0,6.0,27.0,60.0,11.0,4.0,25.0,48.0,23.501541935396528,11.562255925435725,5.529774573034477,8.294661859551717,0.7540601690501559,3.393270760725702,7.54060169050156,1.3824436432586193,0.5027067793667707,3.1419173710423167,6.0324813524012475,3.758,1.413,29.9,57
Anastasiia Olairi Kosu,2026,MIN,27,298.0,608.7762576904206,108.0,79.0,3.0,33.0,35.0,24.0,19.0,17.0,12.0,19.0,36.0,17.740507885398014,12.976852990244844,0.4927918857055004,5.4207107427605035,5.749238666564171,3.9423350856440034,3.1210152761348358,2.792487352331169,1.9711675428220017,3.1210152761348358,5.913502628466005,3.627,1.363,22.08,58
Monique Billings,2026,IND,28,595.0,1245.6442779278227,209.0,120.0,15.0,83.0,59.0,97.0,32.0,22.0,17.0,25.0,68.0,16.77846586729235,9.633568919019533,1.2041961148774416,6.663218502321842,4.736504718517937,7.787134876207455,2.5689517117385416,1.7661543018202477,1.3647555968611003,2.006993524795736,5.459022387444401,3.57,1.342,44.47,59
Angel Reese,2026,ATL,28,841.0,1763.3036993256515,427.0,307.0,32.0,179.0,137.0,181.0,70.0,48.0,17.0,93.0,102.0,24.215907909868257,17.410500534729636,1.8147753000369655,10.151399334581775,7.769506753283258,10.264822790834085,3.9698209688308617,2.722162950055448,0.9640993781446379,5.274190715732431,5.784596268867827,3.237,1.217,57.08,60
DeWanna Bonner,2026,PHX,30,816.0,1650.6766155056482,306.0,137.0,130.0,73.0,21.0,152.0,44.0,34.0,22.0,24.0,53.0,18.537852728122868,8.299626875009256,7.875558348548931,4.422428918800553,1.272205579380981,9.208345145995672,2.665573594893484,2.059761414235874,1.332786797446742,1.453949233578264,3.2108045574853334,3.179,1.195,52.48,61
Sophie Cunningham,2026,IND,28,647.0,1362.100506773478,267.0,54.0,114.0,61.0,8.0,58.0,38.0,17.0,3.0,24.0,56.0,19.60207772277138,3.9644651574144367,8.369426443430477,4.478377307449642,0.5873281714688053,4.258129243148839,2.789808814476826,1.2480723643712115,0.22024806430080202,1.7619845144064161,4.111297200281638,3.09,1.162,42.09,62
Lauren Betts,2026,WSH,28,456.0,903.4198744679434,184.0,135.0,0.0,53.0,33.0,75.0,25.0,15.0,17.0,25.0,44.0,20.36705248579618,14.943217856426546,0.0,5.866596639930421,3.6527865871264895,8.301787698014747,2.767262566004916,1.6603575396029497,1.8817385448833428,2.767262566004916,4.870382116168652,3.051,1.147,27.56,63
Katie Lou Samuelson,2026,SEA,25,387.0,802.7865594332378,116.0,23.0,62.0,25.0,7.0,47.0,19.0,19.0,1.0,11.0,23.0,14.449668923442772,2.865020562406756,7.723098907357344,3.1141527852247353,0.8719627798629259,5.854607236222503,2.3667561167707984,2.3667561167707984,0.1245661114089894,1.3702272254988834,2.865020562406756,3.018,1.134,24.23,64
